,package,Base_Type,Pricing_Type,Package_Type,Title,Description,Price,Monthly_Rental,PEOTV_No_of_Channels,PEOTV_Foreign_Channels,PEOTV_Local_Channels,PEOTV_Movie_Channels,PEOTV_Kids_Channels,PEOTV_Religious_Channels,PEOTV_Tamil_Channels,PEOTV_Educational_Channels,PEOTV_Music_Channels,PEOTV_Sports_Channels,PEOTV_News_Channels,PEOTV_HD_Pack,Subscription_Type,Recidence_Type,Tax_Status,Conditions
0,PEO_SILVER,PEO TV,PAID,PeoTV,Silver,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,899.0,79.0,0.4666666666666667,1.0,0.1111111111111111,0.375,1.0,0.18181818181818182,0.7777777777777777,0.75,0.3333333333333333,0.8888888888888888,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
1,PEO_ENTERTAINMENT,PEO TV,PAID,PeoTV,Entertainement,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,1499.0,87.0,0.6,1.0,0.8888888888888888,0.125,1.0,0.18181818181818182,0.7777777777777777,1.0,0.7777777777777777,0.6666666666666666,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
2,PEO_SILVER_PLUS,PEO TV,PAID,PeoTV,Silver Plus,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,1099.0,85.0,0.5333333333333333,1.0,1.0,0.5,1.0,0.18181818181818182,0.7777777777777777,0.75,0.4444444444444444,1.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
3,PEO_UNNATHAM,PEO TV,PAID,PeoTV,Unnatham,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,899.0,68.0,0.6,0.4411764705882353,0.1111111111111111,0.375,0.75,1.0,0.1111111111111111,0.25,0.1111111111111111,0.7777777777777777,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
4,PEO_TITANIUM,PEO TV,PAID,PeoTV,Titenium,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,2099.0,119.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
5,PEO_GOLD,PEO TV,PAID,PeoTV,Gold,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,1499.0,98.0,0.7333333333333333,1.0,0.4444444444444444,0.75,1.0,0.36363636363636365,0.8888888888888888,1.0,0.4444444444444444,1.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
6,PEO_PLATINUM,PEO TV,PAID,PeoTV,Platinum,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,1899.0,104.0,0.8,1.0,0.8888888888888888,0.75,1.0,0.36363636363636365,0.8888888888888888,1.0,0.4444444444444444,1.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
7,PEO_FAMILY,PEO TV,PAID,PeoTV,Family,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,1299.0,86.0,0.5333333333333333,1.0,0.2222222222222222,0.5,1.0,0.18181818181818182,1.0,0.75,0.2222222222222222,1.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
8,PEO_UTHAYAM,PEO TV,PAID,PeoTV,Uthyam,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
9,PRANAMA,PEO TV,PAID,PeoTV,Pranama,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
10,DOUBLEPROMO,PEO TV,PAID,PeoTV,Double Promo,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
11,PEO_SILVER_FTTH,PEO TV,PAID,PeoTV,Silver FTTH,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
12,NEW_SLT_STAFF_PACKAGE,PEO TV,PAID,PeoTV,SLT Staff Package,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
13,SLT_STAFF_TRIPLE_PLAY,PEO TV,PAID,PeoTV,Stall Triple Play,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE",TRIPLE_PLAY,Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
14,NEW_YEAR_TREAT,PEO TV,PAID,PeoTV,New year Treat,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
15,SLT_STAFF_PEO_UNNATHAM_FTTH,PEO TV,PAID,PeoTV,Unnatham FTTH,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
16,SLTStaff_PEO_SILVER,PEO TV,PAID,PeoTV,Silver Staff,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
17,PEO_RELIGIOUS_PACKAGE,PEO TV,PAID,PeoTV,Religious Package,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
18,LOTUS,PEO TV,PAID,PeoTV,Lotus,PEO TV brings the latest Local & Global news & Entertainment from around the world at a click of a button. Its interactivity will amaze you & will make you want PEO around you almost all the time to guide & help you in providing high quality personalized entertainment to suite your taste.,5990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRIPLE_PLAY,FIBRE","DOUBLE_PLAY,TRIPLE_PLAY",Home,EXCLUDED,https://www.slt.lk/sites/default/files/downloads/general_downloads/SLT%20PEO%20TV%20-%20Terms%20and%20Condition%20English.pdf
