,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT
Month_Subscribed,2019-01,2019-02,2020-11,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
ACCOUNT_NUM.hash,,,,,,,,,,
0009e7e4d940c2a539b89342af07e7f1,0,0,0,0,0,0,3,0,0,0
008bca99f0cccb5d07d4f03744709cf8,0,0,0,0,0,5,0,0,0,0
009f8579b6fcaf11bac2304a1e53fee8,0,0,0,0,0,0,0,0,111,0
01d4aea4b4e156705a9ff94e699e5aa3,0,0,0,0,0,0,0,0,55,0
01f29baefa8fabbd7351cc8260f56323,0,0,0,1010,0,0,0,510555,0,0
02059e815d999bda708149ae263946d3,0,0,0,202020202052051051201,20202020,2020202055520510,202020205120102020520205,20202052020202020122020,2020201110,0
0229633f66008af9de26cf997639b5df,0,0,0,0,0,105522,0,1,0,0
02efe38e4cc2e4c9856bf37ed0a2ad1b,0,0,0,0,0,0,0,1,1,0
033bfca5a6ec3efe628326fde56c6e14,0,0,0,5332,32111,2111,51111,25,21,0
0428ed3b8393d8dfb8ff616d8cad7e15,0,0,0,15,51,0,1511,0,1,0
04b03917b3a4d5e6ed56b3972e493cc5,0,0,0,0,0,0,0,5,5,0
052f85b26b2ff4a46327fb069b8b97f1,0,0,0,2,2,0,0,21,21,0
05837c9e58679948f8c0d891fa4a0ccc,0,0,0,0,511,25,1,122,0,0
05bab558d9088194d8c2e91ffa1f3917,0,0,0,1,15221,11,15322322,101010105552210221,1111,0
06623c7ba64331f615ff83c5664b71bb,0,0,0,0,1,0,0,1,0,0
066323e15583647d5102a831aa53aba7,0,0,0,502020,2015,0,0,0,0,0
071d51ec01c8ed8159ac1313dd632c40,0,0,0,51,0,5,1,0,0,0
07f51c2fd256cda27d107f7c0a19019c,0,0,0,0,0,0,0,10,0,0
085ecebef1af065588e3558ca21e6d4c,0,0,0,0,0,111,0,1,12,0
086bd45995b95b46a7a7b9dcfea9d296,0,0,0,0,0,6,63,8,5,0
086c36a66f685f1111cc6ff7421f04f8,0,0,0,5,0,5,0,0,0,0
0991f9cda4133e39a30dc2bf37837dd0,0,0,0,105,1010,1055,10,0,510,0
099f3123ba012ba1d09237b0f6874e02,0,0,0,50,110,0,0,0,0,0
09aa79820e2d3ecf0d89b5a7cc5874f0,0,0,0,0,0,0,15,0,0,0
09c3fea2f2505f63be5eb46bebb49a17,0,0,0,0,0,0,0,10,251010,0
0a51c034ddd90f3dd18f2180d0027646,0,0,0,5,0,0,0,0,0,0
0b6e8127c84ada80d1871f05a823c723,0,0,0,0,0,0,2,0,0,0
0be59dc046f0cbed83ddb8af3ce2816a,0,0,0,2020,2020,0,2020,202020,2020,0
0c0b7fcdce3512b45183c83bbfee30fd,0,0,0,0,0,0,0,10,0,0
0c43b8f3cee411b60f0d861c313e3245,0,0,0,0,11,1,51,0,0,0
0c4a4871af386fbb10d99dfa3f4a4573,0,0,0,0,0,11,111,0,0,0
0cbda8d79da51a86745baa05c5bf11c7,0,0,0,1,11,0,1111,1,15,0
0e1fe0d01f3a2e9619999a1a634ec427,0,0,0,107106255105525,51055215621061061010655,611061201010522,0,6105251085210156103151101,25101055522655305105552,0
0e296df5b555a94de2d8b009fc3d3d4b,0,0,0,0,2,0,2122,111211,2,0
0e3e3cabb8b653645ad4268f318a80b8,0,0,0,0,1,7,0,5,3,0
0f1cf2c221e13a3aa64dac2a80ba7268,0,0,0,0,0,0,1,11,311,0
0f423fa34f0ba5129051b8141d18c754,0,0,0,0,10,0,20,2020,2020,0
0fa1d2aeb386d52b8fb4b545f3d28b5d,0,0,0,0,2,2111,5,0,0,0
0fc3549886e9eeccf0d9eb80c89e4c3e,0,0,0,0,2,0,0,0,3,0
0fd63ddba63be062131e0c0eb8066192,0,0,0,0,5,5,311121111111,1233521212211,21111121111111111111111111111111111111,0
1022655080756ed52c8ae8deea6a1c79,0,0,0,0,0,0,111,0,111,0
1186aaba03e18b3dda89c75d611e8116,0,0,0,0,0,0,0,1,0,0
11e762264ee9256192f1306bb25fcb5b,0,0,0,0,65,0,10110,101010,105,0
125cd3d518ec89dcffd30b0c5fbae9c7,0,0,0,0,0,0,0,1,0,0
1295ad1df424158c24452be25504ee28,0,0,0,11,1111,11,111,0,1661,0
12e8ff3dc92bc4fdbd7840c05468bc09,0,0,0,0,0,2,5,5,1,0
130a75d8233d72dc5dce070522818bea,0,0,0,0,5,0,55,0,0,0
13492052229a47904c3c8713a0280201,0,0,0,1111,121111,0,11,11,1,0
147d0d2d06928b5358b643b8dffe4473,0,0,0,7553,0,2,33,515,5,0
14c0d047585a207b95283ef5a8e92183,0,0,0,2,2,2,1232,0,0,0
159f5c90adfd80748205f2cd35162968,0,0,0,0,0,0,0,0,1,0
15a55e4cc26ec3bfcf291da8cf4c5b09,0,0,0,11,0,0,0,0,0,0
15d49615ea4b0ad7572e8d10667d23cc,0,0,0,2,0,0,55,0,0,0
16195d6ea26221cbf854e51521778d07,0,0,0,0,1,0,2,0,0,0
16ba7704ef69803d3d41ebde44ad1c06,0,0,0,5,1,610,0,0,1010,0
1702697759a3ecc980b0b6e0624b4374,0,0,0,11,0,0,0,0,0,0
1720696a0cc0328d0bef44d8bc538f8f,0,0,0,0,1,0,2,112111111111,51111,0
173b5739548da633402b4598dcf3fe27,0,0,0,0,0,0,3,1,5,0
17676195d9ac76a70282e7c29369dd83,0,0,0,1,0,0,21,0,0,0
17e6c3b8d8c8019469b7288f0ee6795f,0,0,0,0,1111111,1111111121111111111,511111111111111111,11111111111111,111111,0
187c4f85fd7786ee9f2f0612ef53d2ca,0,0,0,5,55,0,0,105,15,0
193856686a5e12c45cb04a93a8064b60,0,0,0,22,0,0,5523,106211,532,0
199f718bc367b33b58b3256e448d66b2,0,0,0,0,10,0,91010,101010,1010,0
1ac9cef55b7a012cf97dc32bf9d589d6,0,0,0,0,1,1211111,11,0,1,0
1bdb808b0067543eac37a8650abfeb46,0,0,0,0,102010,1010,10101020,0,0,0
1c18c7d5d2cfc8f81c1ad63958bb5e18,0,0,0,0,0,0,0,5,0,0
1c4c0f12a0352e8aaf58602ecf64e877,0,0,0,0,0,0,3,0,0,0
1cf3f313f1060c69dfe814a0e8124f18,0,0,0,0,0,0,0,1,1,0
1d18f77c7b80c29612dac66935cf1f13,0,0,0,0,0,0,1,0,0,0
1d37487e1a255b2fc890ba502613af24,0,0,0,0,0,0,0,5,5,0
1dbf9f5093d230ffb1fc22b00ea0bc93,0,0,0,0,1085,10109,10105,0,0,0
1e317134b50ea5043ebdc3f75d1cde8d,0,0,0,1,0,11,0,0,0,0
1f17a575b6a52725ff5e26614b0cf1be,0,0,0,0,0,0,0,1,1111111,0
1f67a05e8130b7b454fd076750ff44b5,0,0,0,1111111,1111111111111111,511111111111115111111111111,11111111111111111111111111111,111111111111111111111111111111111111,11111111111111111111111111111,0
1f94d46ef3f01af42a42dadaaf9163ae,0,0,0,0,55,5,552,0,2,0
1ff2bd293b3cdb076dc841f4344a7631,0,0,0,0,0,0,0,0,15,0
20fac8de11078e10865f68ccaebc4d0b,0,0,0,3,0,0,0,5,0,0
20fc09387c11895490ee4d08bb2502d9,0,0,0,0,0,0,211,0,0,0
210dcb248ee4c4826bb2aa0a6b1a9c91,0,0,0,0,0,0,0,2,0,0
21354ff80f2eebde68a883fd3ad2583e,0,0,0,0,0,0,0,10,0,0
214cbb1651fa329cf02ef1821fc0e44e,0,0,0,0,21121,5511111,2,0,22,0
21895a35d769c7c82eaf44166fc8918c,0,0,0,0,0,0,0,1,0,0
21ae95c42acca22030b997bca02c0f28,0,0,0,11,811113321,101531,56652111,5616521,5533212112312,0
21e2a94960106171ac59b4a319087d42,0,0,0,0,5,5,62,6,5,0
22b0834e2718881d70660c1e1201895a,0,0,0,0,0,5,2055,0,5,0
22cf709d30168c38d475974124ed3dd2,0,0,0,0,0,0,13,1,1,0
231188ceac9e1917754819af84b1456e,0,0,0,0,0,0,0,55,0,0
234d44e8bbf0d9a74f95de6c37db5b43,0,0,0,0,105,0,105,0,105,0
235fc8a364ad42cf6c021b75e1eba3c3,0,0,0,0,0,0,0,10,2035,0
23b8dcc156cd6c00287efd88ae321631,0,0,0,11,0,510111111111111,0,0,0,0
23c42a198e78b3c852f71ca46acbbc35,0,0,0,0,0,0,0,1,0,0
23fc6e16b1bbdaeae5cfacfc82e91dbc,0,0,0,0,757575757575757575757575757575757575757575757575757575757575757575757575,75757575757575757575,757575757575,75757575,7575757575757575757575757575757575757575,0
2410650dfda5812a8a781bffc2ae56cd,0,0,0,0,1,0,0,0,0,0
249f222a06a79be79b6c58a436efedbb,0,0,0,1,0,21,22,21,2,0
258c0817bf2983a3b0979e58c18db8ef,0,0,0,0,0,0,0,5,0,0
25e6e2871bd9e32697f383a060b5dc52,0,0,0,2,222,25,32,1535222,52555,0
26fa4a17cd478fcf33c1abb76c473b4b,0,0,0,20,1010,0,0,10,5,0
2740366fe8e8525e4734076ed2c55b74,0,0,0,0,0,5,0,105,0,0
276ed6852f3e00ab8a3486fe88ce73ca,0,0,0,0,0,0,0,10,0,0
287cde10ae103ec451caeb0d47b7575c,0,0,0,5,55,0,555,5,5555,0
28f6fc012e1d387862d34a02c4a6d278,0,0,0,521,552,0,53222522222222,2,155,0
294456c6cdbead87967904c0963f8add,0,0,0,0,1,2,15,0,0,0
2a060fe8c46e824806ae9550c89c4375,0,0,0,0,0,105,0,0,105,0
2a3defd31d0d00ec39286695766c38ed,0,0,0,0,0,1,0,0,0,0
2a63c5795001181800ea133a0068e2d6,0,0,0,5,0,0,3,5,0,0
2a754752a65696b63963569c4556e2c6,0,0,0,0,0,5555,5,0,0,0
2a9df80810bc200c1ad3613d8eefd53f,0,0,0,0,0,2,0,0,0,0
2b60f8ffb99f7932ee00cdd291fb1dd5,0,0,0,5,66,6611111,111,51,112,0
2d3c09ba08e6a70dbc5988cbbb2fa115,0,0,0,0,0,0,0,85525,1086553,0
2e3aeb5561f7a9f02cc4d22b74c98a53,0,0,0,0,0,0,5,0,0,0
2e8d1449aa1c031fcf497e6f848e9a4b,0,0,0,3,0,2,2,3,0,0
2ea6c5e59c02744c036fe8ff6cccfb7c,0,0,0,201510,20610,5,85,1510,2015655,0
2eca1f684f6a5d6037f9f76c3e291324,0,0,0,0,0,0,0,5,0,0
2eda8f5eed84231508079b78895a75b3,0,0,0,0,0,2,2222525173532,555555,5557101051051055,0
2f1d40b423aef707a108ca02c1969510,0,0,0,0,0,0,1,0,33,0
2f1d8e2ad12e57fce4419845e23ddcbd,0,0,0,0,0,0,0,123,0,0
2f60b16e58320a419a9b19d502ff7701,0,0,0,0,0,0,63,0,0,0
2f95113e6a986aca6f8eaf90196e50d2,0,0,0,5,5,0,5,0,0,0
317d85dea9d40aa4ab874731fd56b82f,0,0,0,0,0,1,0,0,0,0
31f61faadf026ebd5d89be8d332d3113,0,0,0,0,0,5,105,101,552,0
324b619c08188c4cdfd0b18390013049,0,0,0,0,0,21,2,0,0,0
32547b6376b7e9f42c2328076332b743,0,0,0,0,10,0,5555555,55555,555,0
32e55deb720baed33e5f03a2edae6039,0,0,0,111111,2,1,1,0,0,0
335ad0977174a6b25d969a808106263b,0,0,0,0,0,0,0,1,11111,0
339627aadb955f00a953471ac69a1a95,0,0,0,0,0,1,0,1,0,0
365e4d4f6d27f2618dcc8b09eab41d92,0,0,0,0,2020,0,0,0,0,0
36c5d6f6aff119277c77f9c07246496e,0,0,0,0,0,0,0,3,0,0
370388c74ac6c26daab046792aec7769,0,0,0,2,0,0,0,0,0,0
3733b1efdecf111a1a7114bd885643ef,0,0,0,0,0,0,10,5,0,0
377b852bac7b15a7d75adb2e487e85c8,0,0,0,0,54,0,0,0,0,0
38119c23796467cc2d581d10fba0f7e0,0,0,0,20,0,0,20,0,0,0
38b2614973f3729c7c0afcf96f3e6657,0,0,0,22,512,521,2252525105223,225,22222111,0
39218522cdcd2fab4981794911fcb80d,0,0,0,0,0,0,41,1122,0,0
3a0e07cdc0c5d3e1fdbb8bad63b62ea5,0,0,0,0,0,21,0,0,5222,0
3a525bd045baa04a397409dae0cdebe0,0,0,0,0,0,0,0,1,1,0
3a5d18f9869154219008b298d466fe88,0,0,0,5,0,0,10,1010,1010,0
3b1f1becd16d2927812a4f3f5e1f580b,0,0,0,1,115,511,0,1,0,0
3b33dd056246fe33bae06f2dfc9e0426,0,0,0,55,5,0,5552,22,1111,0
3bc61b93cea92e9c79c8eb1a07f8c5c5,0,0,0,0,0,5,10,0,1010,0
3bde4ff74b0a8852847af576b81d4e15,0,0,0,510102,103421,1,322222223,102102,1025105,0
3c54a3960f64f7ff42001d9f9a6ff6e9,0,0,0,55,0,5,555,0,0,0
3c7eace1f13dcc079b522d213e440cc8,0,0,0,0,111,5,0,1,5,0
3d5d7bdef5e9d898cee6ed80e410801c,0,0,0,0,0,0,0,0,20,0
3db651a2a334c57fdd44f73602d5a9f6,0,0,0,0,0,0,0,25103,10,0
3dc55e72ed522836925b806a91d8dedd,0,0,0,105,10555,10,1010101010,101010,0,0
3e22148c54ddd8e19c3fdbf7c3dce200,0,0,0,0,0,11,105,155,55,0
3e3066c57fdadc381bb9e0e603b5b411,0,0,0,0,0,0,0,1,0,0
3e95dd47b2766c3c53304580e84bcb58,0,0,0,0,0,0,1010,10,0,0
40b83b2408241641beda57ccda54ea1f,0,0,0,10,0,0,10102,105,0,0
41a4427b194c0f2705fd69ab3874b7b5,0,0,0,532,12,0,0,0,0,0
42b90109a2d00e2229e421ca1e4a8f8f,0,0,0,1,11,0,0,1,11,0
42c1b2886070be82b961acee7c05544f,0,0,0,0,1,0,1,0,0,0
42e246b6d9784f6480d686cb715ace37,0,0,0,2,0,0,53,311,0,0
4331912302921124842662df944ba046,0,0,0,0,0,0,1,0,0,0
434555d3b0229289fd08ae8d64c55148,0,0,0,0,0,0,0,0,10,0
437d53cd2cba11d254dbcf4fefd84d4a,0,0,0,0,0,11,61,0,0,0
439a57bb967c988af3902e8454d634a1,0,0,0,5,1055,0,0,0,0,0
44224bc1e2e7101c90bbad70dbcc5a6c,0,0,0,5,51,0,5,1012151,551525,0
444ee3c3af704aef3b5a827671731f44,0,0,0,5,0,5,5151,1111111111111,1111111111,0
44d58c09643065f357d46358acbc36e1,0,0,0,0,0,0,10,0,0,0
4520c37b3625b1e8af30b51159e921dd,0,0,0,23,51,0,0,0,0,0
45c6303ce35d61897c423b4d61d952ac,0,0,0,25,0,5,45,23,5,0
479934bc992ead510eb362cf49ff1143,0,0,0,0,0,0,0,5,0,0
47d3bf8a16a965d3dd70df42c0b578fe,0,0,0,1111111,11,111,0,11,111111,0
47f57c31513c70d9e250a545daa81d66,0,0,0,0,10,2066,20120321,50,20,0
485ee8b61be97f3054ff23f8a8b58d15,0,0,0,0,0,0,221,1,11,0
488e1fcdb687d4745c863bf8df7b458f,0,0,0,0,5,3,0,1,1,0
49384555f99f8bbb2293dfec2d35cd9e,0,0,0,0,0,0,1,11,1,0
494de320778db98d7fa1751e8d60064c,0,0,0,63,775712,665,761,5,565,0
495df5121088ee1c479289e9ea749d09,0,0,0,5111111111111,1151111111111511111111111111111,111115151111111,1115111711211111111,111151111111211111111,20111111115521,0
4976d24f506c5c2418bee55d339714f4,0,0,0,0,434,5,0,53,5,0
49e35911791c4d8b5de0ce3e031d182d,0,0,0,511,51,11,11111111,115,151115,0
4a53c2f008c7fcb139a7f3b90e2b0f85,0,0,0,0,0,0,5,0,0,0
4a617237c13ef4e6f9d26d3dfbffa25b,0,0,0,0,0,0,212,0,2,0
4aadcfd5c6c1669a505b26de580633af,0,0,0,0,1,0,12111,555,1111,0
4b1f7bfd0aa9b296e1b62885043a0167,0,0,0,0,0,0,5,0,0,0
4b9b93f6ee97efcbef1390bc711c09fc,0,0,0,5,5,0,0,55,6,0
4c300d3b50d2c85c0386a11aef92281c,0,0,0,52,2,0,0,0,0,0
4c535a8e5f730c40e1abe423e0fcd77f,0,0,0,0,0,0,2,0,0,0
4c68d8194d71484592853da65e3c28a2,0,0,0,0,0,0,0,0,5,0
4c7a4769273c7a2eb4860a09f6376a70,0,0,0,55555,910571055512,1055510105555721,10595551010,351052,0,21299105951011111110951111
4c8b1ee698ad63a7ba672cb5779a951a,0,0,0,10,10,10555,1010105,105,105,0
4cf39fbb21dbb056669ee97086951856,0,0,0,0,0,0,0,1,1,0
4cf83d8277f8c1cd95199a342092e808,0,0,0,1152332,2,51,110101055102,101010101010525,10101010510,0
4dc580d935b3ea0e73a38c74abf31740,0,0,0,0,11,0,11,1,0,0
4e30072320e0cc5102516ac0f83dac32,0,0,0,0,0,5,0,0,0,0
4efc4cca6d2430af189003b839d52d35,0,0,1010,55,1051071,1056625,10108101044110205101,101515201015,11111,0
4f19598e79d431fdeb86579d366fa0e0,0,0,0,0,0,0,0,11,0,0
4f1ed566c9476815cfe56eab1c22ed05,0,0,0,0,0,0,511,0,1,0
4f9e71835299cc711ed7f61eeb94314f,0,0,0,0,0,0,155,5,5,0
500ab66d965c6ad74f2ffa6ec3dc9cfa,0,0,0,0,0,0,0,511,0,0
50cf8d74511fd6337cbef6cd5f8fb12d,0,0,0,0,0,0,0,25,10,0
51656811642244c0088c3a48c415acb4,0,0,0,1,51,0,0,0,0,0
51974e514429cf7cffba3a1f62ee736a,0,0,0,0,0,0,0,0,1,0
51c31971adcd522bea0b326c76d515b9,0,0,0,51,125,511151555,10101111,510,2555,0
52892a1587dd85e33010985297f133b9,0,0,0,1,1111,111,5,0,11111,0
52e7c04d12cb33c77031760584a9586e,0,0,0,0,56,5,2151010,75613,2510,0
52f37acebec960546afd04e336aeb34c,0,0,0,0,0,35,0,9,73,0
52fdf5e4239da1d7c06a258bc00bbc06,0,0,0,0,0,0,111,0,0,0
53c73c79df5d0cd35a0fb56bbb80f59f,0,0,0,0,0,5,51,5,5510,0
5500568d27e03f40acd5fa387619b65a,0,0,0,5,0,0,111,21121,32,0
552817c6f14cdd90e1174aa40355dd89,0,0,0,0,0,0,0,5555,1010,0
